HD,constellation,Star,ColorIndex,Distance,AbsMag
18256,Aries,,0.471,35.4107648725,2.8343234619
18262,Cetus,,0.478,44.5235975067,2.7270487596
18322,Eridanus,Azha,1.088,40.8329930584,0.8349439256
18404,Aries,,0.415,31.8369945877,3.285339682
18454,Eridanus,,0.238,48.6854917235,2.0030021963
18622,Eridanus,Acamar,0.128,49.4559841741,-0.5910942437
18692,Fornax,,0.427,32.3415265201,3.1411974262
18803,Aries,,0.696,21.164021164,4.9920090642
18907,Fornax,,0.794,30.3582270795,3.4686179742
18978,Eridanus,,0.163,26.4200792602,1.9703294192
19107,Eridanus,,0.193,43.0663221361,2.089311077
19275,Cassiopeia,,0.035,49.6277915633,1.3713752524
19319,Horologium,,0.349,42.2475707647,1.9909912896
19356,Perseus,Algol,-0.003,28.4575981787,-0.1809912142
19373,Perseus,,0.595,10.5340777415,3.9370174044
19476,Perseus,,0.98,34.4234079174,1.1057306836
19994,Cetus,,0.575,22.3763705527,3.3210517733
20010,Fornax,,0.543,14.1123341801,3.05200574
20320,Eridanus,Zibal,0.232,36.7917586461,1.971247262
20395,Eridanus,,0.407,34.6860908776,3.4392232119
20630,Cetus,,0.681,9.1591866642,5.0307154498
20631,Eridanus,,0.381,36.5898280278,2.9031981585
20675,Perseus,,0.468,45.7456541629,2.6382507881
20677,Perseus,,0.051,47.619047619,1.5710964737
20766,Reticulum,,0.641,12.1197430614,5.1125329356
20794,Eridanus,,0.711,6.0598715307,5.3476829139
20807,Reticulum,,0.6,12.0787534726,4.829889413
21024,Hydrus,,0.438,29.3944738389,3.1686715464
21722,Hydrus,,0.415,39.2927308448,2.9884389334
21770,Perseus,,0.398,36.4166059723,2.4935026645
22001,Reticulum,,0.41,21.436227224,3.0542582404
22049,Eridanus,Ran,0.881,3.2180209171,6.1820556866
22468,Taurus,V711 Tau,0.885,28.9687137891,3.5103539352
22484,Taurus,,0.575,13.7193030594,3.6033397511
22701,Cepheus,,0.393,40.9165302782,2.7805060079
22713,Eridanus,,0.921,35.1617440225,3.2396479603
23249,Eridanus,,0.915,9.0432266233,3.738382928
23281,Eridanus,,0.216,42.9184549356,2.4267796051
23754,Eridanus,,0.434,17.9243592042,2.9527818071
23817,Reticulum,,1.133,30.5716906145,1.4134027206
24071,Eridanus,,-0.038,49.4315373208,0.8299794139
24357,Taurus,,0.354,41.4250207125,2.8836863288
24546,Perseus,,0.425,40.7996736026,2.2267165563
24712,Eridanus,DO Eri,0.323,48.9955903969,2.5392150236
24740,Taurus,,0.345,44.8229493501,2.3624978514
25069,Eridanus,,1.001,43.7062937063,2.6472801006
25202,Taurus,,0.319,45.4752160073,2.6011261468
25457,Eridanus,,0.516,19.2307692308,3.9600167182
25490,Taurus,,0.032,39.6196513471,0.9204467529
25570,Taurus,,0.371,35.9712230216,2.6702239796
25621,Taurus,,0.505,34.6380325598,2.6622339194
25680,Taurus,,0.62,16.7252048838,4.7831427671
25867,Taurus,,0.359,27.5785990072,3.0071389988
25945,Eridanus,,0.324,43.1778929188,2.4136927753
