HD,constellation,Star,ColorIndex,Distance,AbsMag
203495,Lyra,,1.5,47.5963826749,8.982130262
203504,Pegasus,,1.108,47.1920717319,0.7106547836
203608,Pavo,,0.494,9.2165898618,4.3871486909
203705,Aquarius,,0.297,48.0769230769,2.0703166748
204153,Cygnus,,0.335,34.3170899108,2.9124477372
204188,Pegasus,IK Peg,0.235,46.0405156538,2.7642991046
204485,Cygnus,,0.333,44.6229361892,2.5022092827
205289,Capricornus,,0.423,27.1296798698,3.5327766544
205435,Cygnus,,0.885,38.1679389313,1.0715064566
205478,Octans,,1.008,21.1774671749,2.1006299137
206043,Pegasus,,0.314,39.1083300743,2.8086536401
206058,Aquarius,,0.514,43.233895374,3.4808781639
206088,Capricornus,Nashira,0.32,42.5894378194,0.5434904629
206301,Capricornus,,0.672,32.5414904003,2.5978128013
206826,Cygnus,,0.512,22.4014336918,2.7386209296
206860,Pegasus,HN Peg,0.587,18.3924958617,4.636796665
206901,Pegasus,,0.425,35.2858151023,1.4019992296
207098,Capricornus,,0.18,11.8231260345,2.4863384041
207129,Grus,,0.601,15.6372165754,4.5992027441
207652,Pegasus,,0.394,33.433634236,2.7190820652
207652,Pegasus,,0.394,33.433634236,2.7190820652
207652,Monoceros,,0.394,33.433634236,2.7190820652
207652,Monoceros,,0.394,33.433634236,2.7190820652
207958,Capricornus,,0.378,27.6625172891,2.8705415082
207964,Indus,,0.393,46.533271289,2.5811820775
207978,Pegasus,,0.426,27.6625172891,3.3105415082
209100,Indus,,1.056,3.6263417464,6.892656352
209369,Cepheus,,0.439,37.4953130859,2.1701150784
209790,Cepheus,Kurhah,0.379,31.1817898347,1.7904947996
209952,Grus,Alnair,-0.07,31.0945273632,-0.7334197996
210027,Pegasus,,0.435,11.7564072419,3.4186268919
210049,PiscisAustrinus,,0.054,39.9840063974,1.4905684587
210302,PiscisAustrinus,,0.489,18.7406296852,3.5760791045
210334,Lacerta,AR Lac,0.763,42.034468264,2.9919722102
210418,Pegasus,Biham,0.086,29.6120817293,1.1626553032
210705,Aquarius,,0.386,43.4782608696,2.8486391801
210853,Octans,,0.312,38.4615384615,2.5648667399
210855,Cepheus,,0.534,36.9959304477,2.3992302285
210884,Cepheus,,0.391,32.6690623979,2.949316648
211336,Cepheus,,0.278,25.7334019557,2.1275139813
211415,Grus,,0.614,13.6109976861,4.6905501992
211998,Indus,,0.66,28.901734104,2.975380494
212061,Aquarius,Sadachbia,-0.057,48.3792936623,0.4367023831
212132,Grus,,0.372,40.6173842405,2.576440243
212330,Tucana,,0.665,20.487604999,3.7525440383
212395,Pegasus,,0.518,33.8983050847,3.5491100799
212697,Aquarius,,0.618,20.0803212851,4.0361467138
212698,Aquarius,,0.62,20.0803212851,4.6961467138
212728,Indus,,0.208,43.5540069686,2.3648594186
212754,Pegasus,,0.519,39.4632991318,2.7790330527
212943,Pegasus,,1.039,49.0436488475,1.3270861289
213051,Aquarius,,0.406,31.7158261973,1.1436198537
213135,PiscisAustrinus,,0.362,42.0875420875,2.8292321815
213398,PiscisAustrinus,,0.011,45.4752160073,1.0011261468
213558,Lacerta,,0.031,31.3873195229,1.2762288573
213845,Aquarius,,0.446,22.7427791676,3.4257823281
214846,Octans,,0.208,43.0477830392,0.960246049
214850,Pegasus,,0.723,32.79763857,3.1407871218
215648,Pegasus,,0.502,16.2495937602,3.1457874596
215789,Grus,,0.083,39.7456279809,0.4935531839
216131,Pegasus,Sadalbari,0.933,35.7781753131,0.7419090611
216228,Cepheus,,1.053,35.3731871242,0.7566290424
216385,Pegasus,,0.487,26.8456375839,3.0156313854
216435,Grus,,0.621,33.2889480692,3.4184996417
216437,Indus,,0.66,26.518164943,3.922282662
216627,Aquarius,Skat,0.066,48.9236790607,-0.1775955427
216640,Aquarius,,1.111,42.9737859905,2.3639819164
216655,Grus,,0.56,46.3392029657,3.7102572017
216656,Grus,,0.458,46.5766185375,3.3291602222
216756,Lacerta,,0.397,41.2541254125,2.8326630775
216803,PiscisAustrinus,TW PsA,1.094,7.6370856881,7.0653616829
216956,PiscisAustrinus,Fomalhaut,0.145,7.6875768758,1.7410526412
217014,Pegasus,Helvetios,0.666,15.3609831029,4.5179049428
217364,Grus,,0.96,34.4946533287,1.4212410768
217792,PiscisAustrinus,,0.305,28.5877644368,2.8390990257
218045,Pegasus,Markab,-0.002,42.8082191781,-0.6676358078
218227,Grus,,0.423,40.7996736026,1.2267165563
218396,Pegasus,,0.259,39.9361022364,2.9631716227
218470,Andromeda,,0.449,34.0947834981,3.0165603149
218630,Grus,,0.475,34.6380325598,3.1322339194
218804,Andromeda,,0.45,28.2565696524,3.6544028132
219080,Andromeda,,0.302,24.4977951984,2.5843650019
219134,Cassiopeia,,1,6.5257113025,6.4968607166
219449,Aquarius,,1.107,45.516613564,0.9491502846
219482,Tucana,,0.521,20.5761316872,4.0731813463
219482,Tucana,,0.521,20.5761316872,4.0731813463
219482,CoronaAustralis,,0.521,20.5761316872,4.0731813463
219482,CoronaAustralis,,0.521,20.5761316872,4.0731813463
219571,Tucana,,0.41,22.0264317181,2.2752792643
219615,Pisces,,0.916,40.1284109149,0.6827401899
219623,Cassiopeia,,0.556,20.2798620969,4.0446750127
219693,Grus,,0.445,34.6140533056,2.8437377092
219834,Aquarius,,0.787,20.7382828702,3.6161360302
219877,Aquarius,,0.386,34.8189415042,2.8509221779
220117,Andromeda,,0.468,42.3908435778,2.6336397044
220321,Aquarius,,1.082,49.6524329692,0.4802973311
220729,Grus,,0.409,31.9693094629,3.0063337219
220825,Pisces,,0.036,49.7017892644,1.4681398819
220954,Pisces,,1.062,48.6854917235,0.8330021963
221420,Octans,,0.681,31.7561130518,3.3108633032
221950,Pisces,,0.449,30.9885342423,3.223994827
222107,Andromeda,,0.984,25.8131130614,1.7507980819
222345,Aquarius,,0.257,41.0172272354,1.9051685064
222368,Pisces,,0.507,13.7912012136,3.4319895256
222404,Cepheus,Errai,1.031,13.7931034483,2.5116900329
222603,Pisces,,0.2,30.8832612724,2.0413842221
222661,Aquarius,,-0.032,47.258979206,1.1175783168
223352,Sculptor,,0.001,43.9947206335,1.3729971786
224392,Tucana,,0.06,48.7092060399,1.5619447469
224617,Pisces,,0.419,32.4886289799,1.4713430775
224930,Pegasus,,0.69,12.4023316383,5.332483299
225003,Pisces,,0.315,37.6931775349,2.8186862499
257498,Gemini,,1.029,18.0115273775,7.3122472872
285590,Pisces,,0.924,32.144005143,8.4245000555
304043,Cepheus,,1.49,12.5454773554,11.1675640456
304043,Cepheus,,1.49,12.5454773554,11.1675640456
304043,Aquila,,1.49,12.5454773554,11.1675640456
304043,Aquila,,1.49,12.5454773554,11.1675640456
358025,Puppis,,1.347,47.8697941599,8.3596921999
358025,Puppis,,1.347,47.8697941599,8.3596921999
358025,Circinus,,1.347,47.8697941599,8.3596921999
358025,Circinus,,1.347,47.8697941599,8.3596921999
