"HD","Star"
"26659",""
"26670",""
"26673",""
"26690",""
"26722",""
"26755",""
"26764",""
"26793",""
"26836",""
"26846",""
"26911",""
"26912",""
"26913","V891 Tau"
"26923","V774 Tau"
"26961","b Per"
"26965","Keid"
"26967",""
"27022",""
"27045",""
"27084",""
"27176",""
"27179",""
"27192",""
"27245",""
"27256",""
"27278",""
"27290",""
"27295",""
"27304",""
"27309","V724 Tau"
"27322",""
"27348",""
"27371",""
"27376",""
"27382",""
"27383",""
"27396","V469 Per"
"27397","V483 Tau"
"27442",""
"27459","V696 Tau"
"27463","TT Ret"
"27497",""
"27536","EK Eri"
"27563","EM Eri"
"27588",""
"27611",""
"27616",""
"27628","V775 Tau"
"27638",""
"27639",""
"27657",""
"27697",""
"27742",""
"27749",""
"27777",""
"27778",""
"27786",""
"27819",""
"27820",""
"27861",""
"27881",""
"27901",""
"27934",""
"27946",""
"27962","V776 Tau"
"27971",""
"27991",""
"28024",""
"28028",""
"28052","V777 Tau"
"28093",""
"28100",""
"28149",""
"28204",""
"28217",""
"28226",""
"28292",""
"28294",""
"28305","Ain"
"28307",""
"28319",""
"28355",""
"28375",""
"28413",""
"28446",""
"28479",""
"28485",""
"28497","DU Eri"
"28525",""
"28527",""
"28546",""
"28556",""
"28595",""
"28677",""
"28704",""
"28732",""
"28749",""
"28776",""
"28780",""
"28843","DZ Eri"
"28873",""
"28910",""
"28929",""
"28978",""
"29009","EH Eri"
"29064","DV Eri"
"29065",""
"29085",""
"29094",""
"29116",""
"29139","Aldebaran"
"29140",""
"29248",""
"29291",""
"29305",""
"29316",""
"29317",""
"29335",""
"29365","HU Tau"
"29375",""
"29388",""
"29391",""
"29399",""
"29479",""
"29488",""
"29499",""
"29503",""
"29526",""
"29573",""
"29589",""
"29613",""
"29645",""
"29646",""
"29678",""
"29712","R Dor"
"29721",""
"29722",""
"29737",""
"29755","DM Eri"
"29763",""
"29859",""
"29875",""
"29992",""
"30020","DW Eri"
"30021",""
"30034",""
"30076","DX Eri"
"30080",""
"30121",""
"30127",""
"30138",""
"30185",""
"30197",""
"30202",""
"30210",""
"30211",""
"30238",""
"30338",""
"30442",""
"30453",""
"30453",""
"30454",""
"30478",""
"30495",""
"30504",""
"30557",""
"30562",""
"30605",""
"30606",""
"30608",""
"30612",""
"30614",""
"30652",""
"30739",""
"30780","V480 Tau"
"30814",""
"30823",""
"30834",""
"30836",""
"30912",""
"30958",""
"30959",""
"30985",""
"31093",""
"31109",""
"31134",""
"31139",""
"31203",""
"31204",""
"31237",""
"31278",""
"31283",""
"31295",""
"31296",""
"31331",""
"31373",""
"31398",""
"31414",""
"31421",""
"31444","R Eri"
"31512",""
"31539",""
"31553",""
"31579",""
"31592",""
"31647",""
"31761",""
"31767",""
"31780",""
"31845",""
"31910",""
"31925",""
"31964",""
"31996","R Lep"
"32008",""
"32045","S Eri"
"32068",""
"32249",""
"32263",""
"32301",""
"32309",""
"32343","BV Cam"
"32357","BM Cam"
"32393",""
"32436",""
"32440",""
"32503",""
"32515",""
"32537",""
"32549","V1032 Ori"
"32630",""
"32650","BN Cam"
"32667",""
"32736","W Ori"
"32743",""
"32831",""
"32846","X Cae"
"32887",""
"32890",""
"32923",""
"32964",""
"32977",""
"32990",""
"32991",""
"33021",""
"33042",""
"33054",""
"33093",""
"33111","Cursa"
"33167",""
"33224",""
"33254",""
"33256",""
"33262",""
"33276",""
"33285",""
"33296",""
"33328",""
"33541",""
"33554",""
"33564",""
"33608",""
"33641",""
"33647","V1085 Ori"
