"fips","variable","value"
"1089","1998",0
"1089","1999",0
"1089","2000",0
"1089","2001",0
"1089","2002",0
"1089","2003",3
"1089","2004",13
"1089","2005",13
"1089","2006",25
"1089","2007",27
"1089","2008",14
"1089","2009",9
"1089","2010",6
"1089","2011",4
"1089","2012",5
"1089","2013",13
"1089","2014",5
"1089","2015",5
"1091","1992",0
"1091","1993",0
"1091","1994",28
"1091","1995",32
"1091","1996",29
"1091","1997",0
"1091","1998",0
"1091","1999",0
"1091","2000",0
"1091","2001",0
"1091","2002",0
"1091","2003",15
"1091","2004",19
"1091","2005",25
"1091","2006",56
"1091","2007",51
"1091","2008",17
"1091","2009",10
"1091","2010",21
"1091","2011",17
"1091","2012",26
"1091","2013",10
"1091","2014",34
"1091","2015",35
"1093","1992",0
"1093","1993",0
"1093","1994",23
"1093","1995",33
"1093","1996",29
"1093","1997",0
"1093","1998",0
"1093","1999",0
"1093","2000",0
"1093","2001",0
"1093","2002",0
"1093","2003",36
"1093","2004",36
"1093","2005",36
"1093","2006",76
"1093","2007",57
"1093","2008",38
"1093","2009",24
"1093","2010",26
"1093","2011",21
"1093","2012",37
"1093","2013",36
"1093","2014",67
"1093","2015",52
"1095","1992",0
"1095","1993",0
"1095","1994",11
"1095","1995",20
"1095","1996",18
"1095","1997",0
"1095","1998",0
"1095","1999",0
"1095","2000",0
"1095","2001",0
"1095","2002",0
"1095","2003",11
"1095","2004",4
"1095","2005",14
"1095","2006",31
"1095","2007",27
"1095","2008",13
"1095","2009",6
"1095","2010",15
"1095","2011",12
"1095","2012",7
"1095","2013",8
"1095","2014",21
"1095","2015",20
"1097","1992",0
"1097","1993",0
"1097","1994",285
"1097","1995",288
"1097","1996",314
"1097","1997",0
"1097","1998",0
"1097","1999",0
"1097","2000",0
"1097","2001",0
"1097","2002",0
"1097","2003",174
"1097","2004",365
"1097","2005",221
"1097","2006",297
"1097","2007",209
"1097","2008",139
"1097","2009",125
"1097","2010",73
"1097","2011",105
"1097","2012",89
"1097","2013",130
"1097","2014",121
"1097","2015",96
"1099","1992",0
"1099","1993",0
"1099","1994",58
"1099","1995",68
"1099","1996",78
"1099","1997",0
"1099","1998",0
"1099","1999",0
"1099","2000",0
"1099","2001",0
"1099","2002",0
"1099","2003",19
"1099","2004",27
"1099","2005",42
"1099","2006",72
"1099","2007",39
"1099","2008",35
"1099","2009",39
"1099","2010",27
"1099","2011",28
"1099","2012",27
"1099","2013",24
"1099","2014",23
"1099","2015",35
"1101","1992",0
"1101","1993",0
"1101","1994",15
"1101","1995",28
"1101","1996",11
"1101","1997",0
"1101","1998",0
"1101","1999",0
"1101","2000",0
"1101","2001",0
"1101","2002",0
"1101","2003",7
"1101","2004",10
"1101","2005",7
"1101","2006",2
"1101","2007",19
"1101","2008",14
"1101","2009",2
"1101","2010",21
"1101","2011",12
"1101","2012",18
"1101","2013",23
"1101","2014",25
"1101","2015",22
"1103","1992",0
"1103","1993",0
"1103","1994",12
"1103","1995",15
"1103","1996",22
"1103","1997",0
"1103","1998",0
"1103","1999",0
"1103","2000",0
"1103","2001",0
"1103","2002",0
"1103","2003",3
"1103","2004",5
"1103","2005",13
"1103","2006",18
"1103","2007",21
"1103","2008",9
"1103","2009",7
"1103","2010",14
"1103","2011",9
"1103","2012",13
"1103","2013",5
"1103","2014",18
"1103","2015",23
"1105","1992",0
"1105","1993",0
"1105","1994",35
"1105","1995",35
"1105","1996",43
"1105","1997",0
"1105","1998",0
"1105","1999",0
"1105","2000",0
"1105","2001",0
"1105","2002",0
"1105","2003",20
"1105","2004",39
"1105","2005",40
"1105","2006",76
"1105","2007",80
"1105","2008",68
"1105","2009",36
"1105","2010",33
"1105","2011",32
"1105","2012",19
"1105","2013",15
"1105","2014",26
"1105","2015",41
"1107","1992",0
"1107","1993",0
"1107","1994",17
"1107","1995",31
"1107","1996",48
"1107","1997",0
"1107","1998",0
"1107","1999",0
"1107","2000",0
"1107","2001",0
"1107","2002",0
"1107","2003",6
"1107","2004",11
"1107","2005",9
"1107","2006",42
"1107","2007",24
"1107","2008",12
"1107","2009",10
"1107","2010",7
"1107","2011",13
"1107","2012",15
"1107","2013",14
"1107","2014",25
"1107","2015",17
"1109","1992",0
"1109","1993",0
"1109","1994",33
"1109","1995",12
"1109","1996",19
"1109","1997",0
"1109","1998",0
"1109","1999",0
"1109","2000",0
"1109","2001",0
"1109","2002",0
"1109","2003",15
"1109","2004",16
"1109","2005",16
"1109","2006",11
"1109","2007",18
"1109","2008",8
"1109","2009",6
"1109","2010",6
"1109","2011",24
"1109","2012",13
"1109","2013",8
"1109","2014",15
"1109","2015",18
"1111","1992",0
"1111","1993",0
"1111","1994",61
"1111","1995",54
"1111","1996",70
"1111","1997",0
"1111","1998",0
"1111","1999",0
"1111","2000",0
"1111","2001",0
"1111","2002",0
"1111","2003",27
"1111","2004",33
"1111","2005",26
"1111","2006",27
"1111","2007",51
"1111","2008",33
"1111","2009",10
"1111","2010",23
"1111","2011",22
"1111","2012",22
"1111","2013",20
"1111","2014",22
"1111","2015",14
"1113","1992",0
"1113","1993",0
"1113","1994",58
"1113","1995",50
"1113","1996",42
"1113","1997",0
"1113","1998",0
"1113","1999",0
"1113","2000",0
"1113","2001",0
"1113","2002",0
"1113","2003",22
"1113","2004",75
"1113","2005",29
"1113","2006",42
"1113","2007",60
"1113","2008",34
"1113","2009",11
"1113","2010",27
"1113","2011",43
"1113","2012",23
"1113","2013",37
"1113","2014",34
"1113","2015",27
"1115","1992",0
"1115","1993",0
"1115","1994",87
"1115","1995",148
"1115","1996",93
"1115","1997",0
"1115","1998",0
"1115","1999",0
"1115","2000",0
"1115","2001",0
"1115","2002",0
"1115","2003",0
"1115","2004",0
"1115","2005",0
"1115","2006",0
"1115","2007",82
"1115","2008",18
"1115","2009",16
"1115","2010",30
"1115","2011",24
"1115","2012",17
"1115","2013",21
"1115","2014",48
"1115","2015",25
"1117","1992",0
"1117","1993",0
"1117","1994",129
"1117","1995",147
"1117","1996",98
"1117","1997",0
"1117","1998",0
"1117","1999",0
"1117","2000",0
"1117","2001",0
"1117","2002",0
"1117","2003",48
"1117","2004",54
"1117","2005",64
"1117","2006",68
"1117","2007",72
"1117","2008",38
"1117","2009",17
"1117","2010",25
"1117","2011",20
"1117","2012",26
"1117","2013",23
"1117","2014",34
"1117","2015",28
"1119","1992",0
"1119","1993",0
"1119","1994",7
"1119","1995",18
"1119","1996",24
"1119","1997",0
"1119","1998",0
"1119","1999",0
"1119","2000",0
"1119","2001",0
"1119","2002",0
"1119","2003",3
"1119","2004",11
"1119","2005",11
"1119","2006",31
"1119","2007",19
"1119","2008",4
"1119","2009",7
"1119","2010",9
"1119","2011",7
"1119","2012",9
"1119","2013",5
"1119","2014",19
"1119","2015",9
"1121","1992",0
"1121","1993",0
"1121","1994",140
"1121","1995",243
"1121","1996",174
"1121","1997",0
"1121","1998",0
"1121","1999",0
"1121","2000",0
"1121","2001",0
"1121","2002",0
"1121","2003",96
"1121","2004",128
"1121","2005",87
"1121","2006",120
"1121","2007",162
"1121","2008",90
"1121","2009",53
"1121","2010",59
"1121","2011",90
"1121","2012",85
"1121","2013",49
"1121","2014",71
"1121","2015",48
"1123","1992",0
"1123","1993",0
"1123","1994",37
"1123","1995",79
"1123","1996",63
"1123","1997",0
"1123","1998",0
"1123","1999",0
"1123","2000",0
"1123","2001",0
"1123","2002",0
"1123","2003",24
"1123","2004",45
"1123","2005",37
"1123","2006",55
"1123","2007",59
"1123","2008",31
"1123","2009",15
"1123","2010",32
"1123","2011",26
"1123","2012",51
"1123","2013",18
"1123","2014",39
"1123","2015",25
"1125","1992",0
"1125","1993",0
"1125","1994",57
"1125","1995",80
"1125","1996",99
"1125","1997",0
"1125","1998",0
"1125","1999",0
"1125","2000",0
"1125","2001",0
"1125","2002",0
"1125","2003",22
"1125","2004",33
"1125","2005",27
"1125","2006",51
"1125","2007",103
