"Movie","ReleaseDate","Distributor","Genre","Rating"
"It Happened One Night","Jan 1, 1934","","Romantic Comedy","NR"
"Of Human Bondage","Jul 20, 1934","","Drama","NR"
"Bride of Frankenstein","May 6, 1935","NCM Fathom","Horror","NR"
"The 39 Steps","Aug 1, 1935","","","NR"
"Whipsaw","Dec 18, 1935","","Drama","NR"
"A Tale of Two Cities","Dec 25, 1935","","Drama","NR"
"The Great Ziegfeld","Mar 23, 1936","","","NR"
"Make Way for Tomorrow","Apr 30, 1937","","Concert/Performance","NR"
"Jamaica Inn","Oct 13, 1939","Paramount Pictures","Thriller/Suspense","NR"
"The Hunchback of Notre Dame","Dec 29, 1939","RKO Radio Pictures","Horror","NR"
"The Philadelphia Story","Jan 1, 1940","MGM","Romantic Comedy","NR"
"Le jour se leve","Jul 29, 1940","Rialto Pictures","Drama","NR"
"De Mayerling à Sarajevo","Oct 29, 1940","The Film Desk","Drama","NR"
"Escape","Nov 1, 1940","","Thriller/Suspense","NR"
"Tobacco Road","Mar 7, 1941","","Drama","NR"
"For Me and My Gal","Nov 20, 1942","","Multiple Genres","NR"
"Girl Crazy","Nov 26, 1943","","Musical","NR"
"The Song of Bernadette","Dec 25, 1943","","Drama","NR"
"Went the Day Well?","Jun 28, 1944","Rialto Pictures","Thriller/Suspense","NR"
"Spellbound","Oct 31, 1945","United Artists","Thriller/Suspense","NR"
"The Killers","Aug 30, 1946","","Drama","NR"
"Les Enfants du Paradis","Nov 15, 1946","Janus Films","Drama","NR"
"Duel in the Sun","Dec 31, 1946","","Western","NR"
"Panique","Nov 26, 1947","Rialto Pictures","Drama","NR"
"On the Town","Jan 1, 1949","","Musical","NR"
"The Fallen Idol","Nov 15, 1949","Rialto Pictures","Thriller/Suspense","NR"
"The Third Man","Feb 2, 1950","Rialto Pictures","Thriller/Suspense","NR"
"Night and the City","Jun 9, 1950","","Thriller/Suspense","NR"
"The River","Sep 10, 1951","","Drama","NR"
"Tales of Hoffmann","Jun 13, 1952","Rialto Pictures","Musical","NR"
"Sudden Fear","Aug 7, 1952","Cohen Media Group","Thriller/Suspense","NR"
"Journal d'un curé de campagne","Apr 5, 1954","Rialto Pictures","Drama","NR"
"Casanova's Big Night","Apr 17, 1954","Paramount Pictures","Comedy","NR"
"Anatahan","May 17, 1954","Kino Lorber","Drama","NR"
"Les vacances de M. Hulot","Jun 16, 1954","Janus Films","Comedy","NR"
"Johnny Guitar","Aug 23, 1954","","Western","NR"
"Carmen Jones","Oct 28, 1954","","Drama","NR"
"Love Is a Many-Splendored Thing","Jan 1, 1955","","","NR"
"Du rififi chez les hommes","Jun 5, 1956","Rialto Pictures","Thriller/Suspense","NR"
"Daniel Boone: Trail Blazer","Oct 5, 1956","","Western","NR"
"L'oro di Napoli","Nov 2, 1957","Rialto Pictures","Comedy","NR"
"Pather Panchali","Sep 22, 1958","Janus Films","Drama","NR"
"North by Northwest","Jan 1, 1959","","Action","NR"
"Visit to a Small Planet","Feb 4, 1960","","","NR"
"September Storm","Sep 9, 1960","","","NR"
"Ascenseur pour l'échafaud","Jun 10, 1961","Rialto Pictures","Drama","NR"
"The Exiles","Jul 13, 1961","Milestone","","NR"
"West Side Story","Oct 18, 1961","","Musical","NR"
"Bon Voyage!","May 17, 1962","Walt Disney","Comedy","NR"
"Classe Tous Risques","Jan 1, 1963","Rialto Pictures","Thriller/Suspense","NR"
