"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross","Distributor","Genre","Rating"
"Mad Max: Fury Road","05/15/2015","$150,000,000","$153,636,354","$370,742,166","Warner Bros.","Action","R"
"The Matrix Revolutions","11/05/2003","$150,000,000","$139,270,910","$427,300,260","Warner Bros.","Action","R"
"Mission: Impossible III","05/05/2006","$150,000,000","$133,501,348","$397,501,348","Paramount Pictures","Action","PG-13"
"Angels & Demons","05/15/2009","$150,000,000","$133,375,846","$490,875,846","Sony Pictures","Thriller/Suspense","PG-13"
"Troy","05/14/2004","$150,000,000","$133,298,577","$484,161,265","Warner Bros.","Action","R"
"The Last Airbender","07/01/2010","$150,000,000","$131,772,187","$319,713,881","Paramount Pictures","Adventure","PG"
"Bee Movie","11/02/2007","$150,000,000","$126,631,277","$287,594,577","Paramount Pictures","Adventure","PG"
"G-Force","07/24/2009","$150,000,000","$119,436,770","$292,817,841","Walt Disney","Adventure","PG"
"Bolt","11/21/2008","$150,000,000","$114,053,579","$328,015,029","Walt Disney","Adventure","PG"
"Wrath of the Titans","03/30/2012","$150,000,000","$83,670,083","$305,270,083","Warner Bros.","Adventure","PG-13"
"Beowulf","11/16/2007","$150,000,000","$82,195,215","$194,995,215","Paramount Pictures","Adventure","PG-13"
"Dark Shadows","05/11/2012","$150,000,000","$79,727,149","$238,202,668","Warner Bros.","Black Comedy","PG-13"
"White House Down","06/28/2013","$150,000,000","$73,103,784","$205,440,387","Sony Pictures","Thriller/Suspense","PG-13"
"The Wolfman","02/12/2010","$150,000,000","$62,189,884","$142,634,358","Universal","Horror","R"
"The Great Wall","02/17/2017","$150,000,000","$45,157,105","$334,550,106","Universal","Action","PG-13"
"Pan","10/09/2015","$150,000,000","$35,088,320","$151,550,856","Warner Bros.","Adventure","PG"
"Mars Needs Moms","03/11/2011","$150,000,000","$21,392,758","$39,549,758","Walt Disney","Adventure","PG"
"Flushed Away","11/03/2006","$149,000,000","$64,665,672","$179,357,126","Paramount Pictures","Adventure","PG"
"Madagascar 3: Europe's Most Wanted","06/08/2012","$145,000,000","$216,391,482","$746,921,271","Paramount Pictures","Adventure","PG"
"Mission: Impossible—Ghost Protocol","12/16/2011","$145,000,000","$209,397,903","$694,713,230","Paramount Pictures","Action","PG-13"
"How to Train Your Dragon 2","06/13/2014","$145,000,000","$177,002,924","$614,586,270","20th Century Fox","Adventure","PG"
"Tarzan","06/16/1999","$145,000,000","$171,091,819","$448,191,819","Walt Disney","Adventure","G"
"Mr. Peabody & Sherman","03/07/2014","$145,000,000","$111,506,430","$269,806,430","20th Century Fox","Adventure","PG"
"Rise of the Guardians","11/21/2012","$145,000,000","$103,412,758","$306,900,902","Paramount Pictures","Adventure","PG"
"Sahara","04/08/2005","$145,000,000","$68,671,925","$121,671,925","Paramount Pictures","Adventure","PG-13"
"Ghostbusters","07/15/2016","$144,000,000","$128,350,574","$229,034,050","Sony Pictures","Comedy","PG-13"
"Die Another Day","11/22/2002","$142,000,000","$160,942,139","$431,942,139","MGM","Action","PG-13"
"Pirates of the Caribbean: The Curse of the Black Pearl","07/09/2003","$140,000,000","$305,411,224","$634,954,103","Walt Disney","Adventure","PG-13"
"Star Trek","05/08/2009","$140,000,000","$257,730,019","$385,680,446","Paramount Pictures","Adventure","PG-13"
"Armageddon","07/01/1998","$140,000,000","$201,578,182","$554,600,000","Walt Disney","Adventure","PG-13"
"Men in Black 2","07/03/2002","$140,000,000","$190,418,803","$441,767,803","Sony Pictures","Action","PG-13"
"Captain America: The First Avenger","07/22/2011","$140,000,000","$176,654,505","$370,569,776","Paramount Pictures","Action","PG-13"
"Kung Fu Panda 3","01/29/2016","$140,000,000","$143,528,619","$518,614,383","20th Century Fox","Adventure","PG"
"Lethal Weapon 4","07/10/1998","$140,000,000","$130,444,603","$285,400,000","Warner Bros.","Action","R"
"G.I. Joe: Retaliation","03/27/2013","$140,000,000","$122,523,060","$375,740,705","Paramount Pictures","Action","PG-13"
"The Last Samurai","12/05/2003","$140,000,000","$111,110,575","$456,810,575","Warner Bros.","Action","R"
"Fun With Dick And Jane","12/21/2005","$140,000,000","$110,550,000","$203,018,919","Sony Pictures","Comedy","PG-13"
"Exodus: Gods and Kings","12/12/2014","$140,000,000","$65,014,513","$268,314,513","20th Century Fox","Drama","PG-13"
"The BFG","07/01/2016","$140,000,000","$55,483,770","$199,905,224","Walt Disney","Adventure","PG"
"Gods of Egypt","02/26/2016","$140,000,000","$31,153,464","$133,553,464","Lionsgate","Adventure","PG-13"
"Spider-Man","05/03/2002","$139,000,000","$403,706,375","$821,706,375","Sony Pictures","Adventure","PG-13"
"Watchmen","03/06/2009","$138,000,000","$107,509,799","$184,068,357","Warner Bros.","Action","R"
"Stealth","07/29/2005","$138,000,000","$32,116,746","$76,416,746","Sony Pictures","Action","PG-13"
"The Incredible Hulk","06/13/2008","$137,500,000","$134,806,913","$265,573,859","Universal","Adventure","PG-13"
"Hulk","06/20/2003","$137,000,000","$132,177,234","$245,075,434","Universal","Action","PG-13"
"Final Fantasy: The Spirits Within","07/11/2001","$137,000,000","$32,131,830","$85,131,830","Sony Pictures","Adventure","PG-13"
"The Twilight Saga: Breaking Dawn, Part 2","11/16/2012","$136,200,000","$292,324,737","$829,724,737","Lionsgate","Drama","PG-13"
"The Croods","03/22/2013","$135,000,000","$187,168,425","$573,068,425","20th Century Fox","Adventure","PG"
"The Revenant","12/25/2015","$135,000,000","$183,637,894","$532,950,503","20th Century Fox","Adventure","R"
"The World is Not Enough","11/19/1999","$135,000,000","$126,930,660","$361,730,660","MGM","Action","PG-13"
"Rango","03/04/2011","$135,000,000","$123,257,581","$245,504,574","Paramount Pictures","Adventure","PG"
"Master and Commander: The Far Side of the World","11/14/2003","$135,000,000","$93,926,386","$212,912,137","20th Century Fox","Adventure","PG-13"
"Turbo","07/17/2013","$135,000,000","$83,028,130","$286,896,578","20th Century Fox","Adventure","PG"
"Teenage Mutant Ninja Turtles: Out of the Shadows","06/03/2016","$135,000,000","$82,051,601","$245,623,848","Paramount Pictures","Adventure","PG-13"
"Happy Feet Two","11/18/2011","$135,000,000","$64,006,466","$157,956,466","Warner Bros.","Adventure","PG"
"Miami Vice","07/28/2006","$135,000,000","$63,478,838","$163,818,556","Universal","Action","R"
"War of the Worlds","06/29/2005","$132,000,000","$234,280,354","$606,836,535","Paramount Pictures","Action","PG-13"
"Penguins of Madagascar","11/26/2014","$132,000,000","$83,350,911","$367,650,911","20th Century Fox","Adventure","PG"
"The Hunger Games: Catching Fire","11/22/2013","$130,000,000","$424,668,047","$864,868,047","Lionsgate","Adventure","PG-13"
"Harry Potter and the Prisoner of Azkaban","06/04/2004","$130,000,000","$249,538,952","$796,688,549","Warner Bros.","Adventure","PG"
"The Bourne Ultimatum","08/03/2007","$130,000,000","$227,471,070","$442,161,562","Universal","Thriller/Suspense","PG-13"
"Kung Fu Panda","06/06/2008","$130,000,000","$215,434,591","$631,910,531","Paramount Pictures","Adventure","PG"
"Ant-Man","07/17/2015","$130,000,000","$180,202,163","$519,338,048","Walt Disney","Action","PG-13"
"Home","03/27/2015","$130,000,000","$177,397,510","$386,069,390","20th Century Fox","Adventure","PG"
"Puss in Boots","10/28/2011","$130,000,000","$149,260,504","$554,987,477","Paramount Pictures","Adventure","PG"
"Megamind","11/05/2010","$130,000,000","$148,415,853","$321,887,208","Paramount Pictures","Adventure","PG"
"Bad Boys II","07/18/2003","$130,000,000","$138,540,870","$273,271,982","Sony Pictures","Action","R"
"Rio 2","04/11/2014","$130,000,000","$131,538,435","$492,846,291","20th Century Fox","Adventure","G"
"Salt","07/23/2010","$130,000,000","$118,311,368","$290,650,494","Sony Pictures","Thriller/Suspense","PG-13"
"Noah","03/28/2014","$130,000,000","$101,200,044","$352,831,065","Paramount Pictures","Drama","PG-13"
"The Adventures of Tintin","12/21/2011","$130,000,000","$77,591,831","$373,993,951","Paramount Pictures","Adventure","PG"
"After Earth","05/31/2013","$130,000,000","$60,522,097","$251,499,665","Sony Pictures","Action","PG-13"
"Australia","11/26/2008","$130,000,000","$49,554,002","$215,080,810","20th Century Fox","Drama","PG-13"
"R.I.P.D.","07/19/2013","$130,000,000","$33,618,855","$79,076,678","Universal","Action","PG-13"
"The Twilight Saga: Breaking Dawn, Part 1","11/18/2011","$127,500,000","$281,287,133","$689,420,051","Summit Entertainment","Drama","PG-13"
"Dinosaur","05/19/2000","$127,500,000","$137,748,063","$356,148,063","Walt Disney","Adventure","PG"
"Logan","03/03/2017","$127,000,000","$226,277,068","$615,577,068","20th Century Fox","Action","R"
"Night at the Museum: Secret of the Tomb","12/19/2014","$127,000,000","$113,746,621","$356,546,621","20th Century Fox","Adventure","PG"
"Harry Potter and the Deathly Hallows: Part II","07/15/2011","$125,000,000","$381,011,219","$1,341,511,219","Warner Bros.","Adventure","PG-13"
"The Hunger Games: Mockingjay - Part 1","11/21/2014","$125,000,000","$337,135,885","$766,652,288","Lionsgate","Thriller/Suspense","PG-13"
"Harry Potter and the Sorcerer’s Stone","11/16/2001","$125,000,000","$317,575,550","$974,755,371","Warner Bros.","Adventure","PG"
"Harry Potter and the Deathly Hallows: Part I","11/19/2010","$125,000,000","$295,983,305","$960,283,305","Warner Bros.","Adventure","PG-13"
"The Da Vinci Code","05/19/2006","$125,000,000","$217,536,138","$767,820,459","Sony Pictures","Thriller/Suspense","PG-13"
"X2","05/02/2003","$125,000,000","$214,949,694","$406,875,536","20th Century Fox","Action","PG-13"
"Fast Five","04/29/2011","$125,000,000","$209,837,675","$629,969,804","Universal","Action","PG-13"
"Teenage Mutant Ninja Turtles","08/08/2014","$125,000,000","$191,204,754","$485,004,754","Paramount Pictures","Adventure","PG-13"
"Sherlock Holmes: A Game of Shadows","12/16/2011","$125,000,000","$186,848,418","$535,663,443","Warner Bros.","Action","PG-13"
"The Day After Tomorrow","05/28/2004","$125,000,000","$186,740,799","$556,319,450","20th Century Fox","Adventure","PG-13"
