"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross","Distributor","Genre","Rating"
"Twilight","03/06/1998","$20,000,000","$15,055,091","$15,055,091","Paramount Pictures","Drama","R"
"Capitalism: A Love Story","09/23/2009","$20,000,000","$14,363,397","$19,121,531","Overture Films","Documentary","R"
"Lockout","04/13/2012","$20,000,000","$14,326,865","$33,943,049","Open Road","Thriller/Suspense","PG-13"
"Disaster Movie","08/29/2008","$20,000,000","$14,190,901","$36,720,752","Lionsgate","Comedy","PG-13"
"What's Your Number?","09/30/2011","$20,000,000","$14,011,084","$30,163,785","20th Century Fox","Romantic Comedy","R"
"The Man Who Knew Too Little","11/14/1997","$20,000,000","$13,801,755","$13,801,755","Warner Bros.","Comedy","PG"
"Crank 2: High Voltage","04/17/2009","$20,000,000","$13,684,249","$35,472,739","Lionsgate","Thriller/Suspense","R"
"Burnt","10/30/2015","$20,000,000","$13,651,946","$32,632,668","Weinstein Co.","Comedy","R"
"Envy","04/30/2004","$20,000,000","$13,548,322","$14,566,246","Dreamworks SKG","Comedy","PG-13"
"One Night with the King","10/13/2006","$20,000,000","$13,395,961","$13,725,032","Rocky Mountain Pict…","Drama","PG"
"Bullets Over Broadway","10/21/1994","$20,000,000","$13,383,747","$13,383,747","Miramax","Comedy","R"
"Ghost Town","09/19/2008","$20,000,000","$13,252,641","$29,843,245","Paramount Pictures","Romantic Comedy","PG-13"
"The Quiet American","11/22/2002","$20,000,000","$12,987,647","$26,348,203","Miramax","Drama","R"
"Triple 9","02/26/2016","$20,000,000","$12,639,297","$25,943,792","Open Road","Thriller/Suspense","R"
"The Light Between Oceans","09/02/2016","$20,000,000","$12,545,979","$19,450,780","Walt Disney","Drama","PG-13"
"The Weather Man","10/28/2005","$20,000,000","$12,482,775","$15,466,961","Paramount Pictures","Drama","R"
"Undisputed","08/23/2002","$20,000,000","$12,398,628","$12,398,628","Miramax","Drama","R"
"12 Rounds","03/27/2009","$20,000,000","$12,234,694","$17,306,648","20th Century Fox","Action","PG-13"
"Let Me In","10/01/2010","$20,000,000","$12,134,935","$28,270,399","Overture Films","Thriller/Suspense","R"
"3 Ninjas Kick Back","05/06/1994","$20,000,000","$11,744,960","$11,744,960","Walt Disney","Action","PG"
"Be Kind Rewind","02/22/2008","$20,000,000","$11,175,164","$30,894,247","New Line","Comedy","PG-13"
"Mrs. Henderson Presents","12/09/2005","$20,000,000","$11,036,366","$27,836,366","Weinstein Co.","Comedy","R"
"Deconstructing Harry","12/12/1997","$20,000,000","$10,686,841","$10,686,841","Fine Line","Romantic Comedy","R"
"Three to Tango","10/22/1999","$20,000,000","$10,570,375","$10,570,375","Warner Bros.","Romantic Comedy","PG-13"
"We're No Angels","12/15/1989","$20,000,000","$10,555,348","$10,555,348","Paramount Pictures","Comedy","PG-13"
"Everyone Says I Love You","12/06/1996","$20,000,000","$9,725,847","$34,600,000","Miramax","Musical","R"
"Death Sentence","08/31/2007","$20,000,000","$9,534,258","$16,907,831","20th Century Fox","Action","R"
"Popstar: Never Stop Never Stopping","06/03/2016","$20,000,000","$9,496,130","$9,537,120","Universal","Comedy","R"
"Thank You for Your Service","10/27/2017","$20,000,000","$9,479,390","$9,670,914","Universal","Drama","R"
"Everybody's Fine","12/04/2009","$20,000,000","$9,208,876","$9,208,876","Miramax","Drama","PG-13"
"Superbabies: Baby Geniuses 2","08/27/2004","$20,000,000","$9,109,322","$9,355,369","Sony Pictures","Adventure","PG"
"Battle of the Year","09/20/2013","$20,000,000","$8,888,355","$16,723,377","Sony Pictures","Drama","PG-13"
"Ratchet and Clank","04/29/2016","$20,000,000","$8,813,410","$11,813,410","Focus Features","Adventure","PG"
"Death at a Funeral","08/17/2007","$20,000,000","$8,580,428","$46,790,428","MGM","Comedy","R"
"The Man","09/09/2005","$20,000,000","$8,330,720","$10,393,696","New Line","Comedy","PG-13"
"Code Name: The Cleaner","01/05/2007","$20,000,000","$8,135,024","$8,135,024","New Line","Comedy","PG-13"
"Inherent Vice","12/12/2014","$20,000,000","$8,110,975","$14,772,346","Warner Bros.","Drama","R"
"Connie & Carla","04/16/2004","$20,000,000","$8,047,525","$8,047,525","Universal","Comedy","PG-13"
"Machete Kills","10/11/2013","$20,000,000","$8,008,161","$18,273,009","Open Road","Action","R"
"Doogal","02/24/2006","$20,000,000","$7,578,946","$28,058,652","Weinstein Co.","Adventure","G"
"Proof","09/16/2005","$20,000,000","$7,535,331","$8,284,331","Miramax","Drama","PG-13"
"An American Carol","10/03/2008","$20,000,000","$7,013,191","$7,022,183","Vivendi Entertainment","Comedy","PG-13"
"Willard","03/14/2003","$20,000,000","$6,882,696","$6,882,696","New Line","Horror","PG-13"
"Strange Wilderness","02/01/2008","$20,000,000","$6,575,282","$6,947,084","Paramount Vantage","Comedy","R"
"Little Boy","04/24/2015","$20,000,000","$6,485,961","$17,684,355","Open Road","Drama","PG-13"
"Topsy Turvy","12/17/1999","$20,000,000","$6,201,757","$6,201,757","USA Films","Musical","R"
"Chasing Mavericks","10/26/2012","$20,000,000","$6,002,756","$8,300,821","20th Century Fox","Drama","PG"
"A Most Violent Year","12/31/2014","$20,000,000","$5,749,134","$6,071,433","A24","Drama","R"
"A Dangerous Method","11/23/2011","$20,000,000","$5,702,083","$14,807,531","Sony Pictures Classics","Drama","R"
"A Scanner Darkly","07/07/2006","$20,000,000","$5,501,616","$7,405,084","Warner Bros.","Thriller/Suspense","R"
"Bandslam","08/14/2009","$20,000,000","$5,210,988","$12,967,829","Summit Entertainment","Comedy","PG"
"Alone in the Dark","01/28/2005","$20,000,000","$5,178,569","$8,178,569","Lionsgate","Horror","R"
"Birth","10/29/2004","$20,000,000","$5,005,899","$14,603,001","New Line","Drama","R"
"Hands of Stone","08/26/2016","$20,000,000","$4,712,792","$5,032,013","Weinstein Co.","Drama","R"
"Passchendaele","10/24/2008","$20,000,000","$4,452,423","$4,453,327","Alliance Films","Drama","NR"
"Flash of Genius","10/03/2008","$20,000,000","$4,442,377","$4,504,111","Universal","Drama","PG-13"
"I’m Not There","11/21/2007","$20,000,000","$4,017,609","$12,397,613","Weinstein Co.","Drama","R"
"The Cold Light of Day","09/07/2012","$20,000,000","$3,763,583","$25,361,206","Lionsgate","Thriller/Suspense","PG-13"
"The Brothers Bloom","05/15/2009","$20,000,000","$3,531,756","$5,531,756","Summit Entertainment","Black Comedy","PG-13"
"Synecdoche, New York","10/24/2008","$20,000,000","$3,083,538","$4,383,538","Sony Pictures Classics","Drama","R"
"Mononoke-hime","10/29/1999","$20,000,000","$2,374,107","$150,350,000","Miramax","Action","PG-13"
"Bon Voyage","03/19/2004","$20,000,000","$2,353,728","$8,361,736","Sony Pictures","Comedy","PG-13"
"My All-American","11/13/2015","$20,000,000","$2,246,000","$2,246,000","Clarius Entertainment","Drama","PG"
"The Proposition","05/05/2006","$20,000,000","$1,903,434","$5,313,608","First Look","Drama","R"
"Marci X","08/22/2003","$20,000,000","$1,646,664","$1,646,664","Paramount Pictures","Comedy","R"
"Equilibrium","12/06/2002","$20,000,000","$1,190,018","$5,345,869","Miramax/Dimension","Action","R"
"Dylan Dog: Dead of Night","04/29/2011","$20,000,000","$1,186,538","$6,093,725","Omin/Freestyle","Horror","PG-13"
"The Oogieloves in the BIG Balloon Adventure","08/29/2012","$20,000,000","$1,065,907","$1,065,907","Kenn Viselman Presents","Adventure","G"
"The Children of Huang Shi","05/23/2008","$20,000,000","$1,031,872","$8,221,700","Sony Pictures Classics","Drama","R"
"The Yards","10/20/2000","$20,000,000","$882,710","$2,282,710","Miramax","Drama","R"
"Jìyì dàshī","04/28/2017","$20,000,000","$587,470","$43,326,383","China Lion Film Dis…","Thriller/Suspense","NR"
"All Good Things","12/03/2010","$20,000,000","$582,024","$873,617","Magnolia Pictures","Drama","R"
"By the Sea","11/13/2015","$20,000,000","$538,460","$3,727,746","Universal","Drama","R"
"Steamboy","03/18/2005","$20,000,000","$468,867","$10,468,867","Sony Pictures","Action","PG-13"
"The Game of Their Lives","04/22/2005","$20,000,000","$375,474","$375,474","IFC Films","Drama","PG"
"The Tempest","12/10/2010","$20,000,000","$277,943","$277,943","Miramax","Drama","PG-13"
"長江七號 (CJ7)","03/07/2008","$20,000,000","$206,678","$47,300,771","Sony Pictures Classics","Adventure","PG"
"The Burning Plain","09/18/2009","$20,000,000","$200,730","$1,167,092","Magnolia Pictures","Drama","R"
"People I Know","04/25/2003","$20,000,000","$121,972","$5,694,213","Miramax","","R"
"Regression","10/30/2015","$20,000,000","$55,039","$14,883,495","Weinstein Co.","Thriller/Suspense","R"
"The Touch","03/31/2004","$20,000,000","$0","$5,918,742","Miramax","","PG-13"
"Survivor","05/29/2015","$20,000,000","$0","$774,905","Alchemy","Thriller/Suspense","PG-13"
"The History of Love","11/18/2016","$20,000,000","$0","$93,690","Entertainment One","Drama","NR"
"Dwegons and Leprechauns","08/29/2014","$20,000,000","$0","$0","","Adventure","PG"
"Fight Valley","07/22/2016","$20,000,000","$0","$0","Breaking Glass Pict…","Action","NR"
"Der Baader Meinhof Komplex","08/21/2009","$19,700,000","$476,270","$16,498,827","Vitagraph Films","Action","R"
"De rouille et d’os","11/23/2012","$19,500,000","$2,061,449","$29,393,634","Sony Pictures Classics","Drama","R"
"The Painted Veil","12/20/2006","$19,400,000","$8,060,487","$15,118,795","Warner Independent","Drama","PG-13"
"The Frozen Ground","08/23/2013","$19,200,000","$0","$5,617,460","Lionsgate","Thriller/Suspense","R"
"The Devil's Double","07/29/2011","$19,100,000","$1,361,512","$2,406,666","Lionsgate","Drama","R"
"Back to the Future","07/03/1985","$19,000,000","$212,259,762","$385,524,862","Universal","Adventure","PG"
"Dances with Wolves","11/09/1990","$19,000,000","$184,208,842","$424,200,000","Orion Pictures","Western","PG-13"
"Scary Movie","07/07/2000","$19,000,000","$157,019,771","$277,200,000","Miramax/Dimension","Comedy","R"
"Bad Teacher","06/24/2011","$19,000,000","$100,292,856","$215,448,997","Sony Pictures","Comedy","R"
"Sausage Party","08/12/2016","$19,000,000","$97,670,358","$141,354,394","Sony Pictures","Adventure","R"
"Sea of Love","09/15/1989","$19,000,000","$58,571,513","$58,571,513","Universal","Thriller/Suspense","R"
"Just Married","01/10/2003","$19,000,000","$56,127,162","$101,564,935","20th Century Fox","Romantic Comedy","PG-13"
"I Can Do Bad All By Myself","09/11/2009","$19,000,000","$51,733,921","$51,733,921","Lionsgate","Comedy","PG-13"
"A Cinderella Story","07/16/2004","$19,000,000","$51,438,175","$70,164,105","Warner Bros.","Romantic Comedy","PG"
"The Shining","05/23/1980","$19,000,000","$44,017,374","$44,728,227","Warner Bros.","Horror","R"
"Thirteen Ghosts","10/26/2001","$19,000,000","$41,867,960","$68,467,960","Warner Bros.","Horror","R"
"House on Haunted Hill","10/29/1999","$19,000,000","$40,846,082","$65,090,541","Warner Bros.","Horror","R"
"The Crazies","02/26/2010","$19,000,000","$39,123,589","$56,445,534","Overture Films","Horror","R"
"Notorious","01/16/2009","$19,000,000","$36,843,682","$45,005,151","Fox Searchlight","Drama","R"
"The Switch","08/20/2010","$19,000,000","$27,758,465","$49,858,465","Miramax","Romantic Comedy","PG-13"
"Leap Year","01/08/2010","$19,000,000","$25,918,920","$32,618,920","Universal","Romantic Comedy","PG"
"The Book Thief","11/08/2013","$19,000,000","$21,488,481","$76,086,711","20th Century Fox","Drama","PG-13"
"Gone, Baby, Gone","10/19/2007","$19,000,000","$20,300,218","$34,352,162","Miramax","Drama","R"
"Thomas and the Magic Railroad","07/26/2000","$19,000,000","$15,911,332","$15,911,332","Destination Films","Adventure","G"
"Sen to Chihiro no Kamikakushi","09/20/2002","$19,000,000","$10,049,886","$274,949,886","Walt Disney","Adventure","PG"
"Sex Drive","10/17/2008","$19,000,000","$8,402,485","$10,412,485","Summit Entertainment","Comedy","R"
"Firestorm","01/09/1998","$19,000,000","$8,123,860","$8,123,860","20th Century Fox","Action","R"
"Take Me Home Tonight","03/04/2011","$19,000,000","$6,928,068","$7,576,604","Relativity","Comedy","R"
"Won't Back Down","09/28/2012","$19,000,000","$5,310,554","$5,745,503","20th Century Fox","Drama","PG"
"The Nutcracker","11/24/1993","$19,000,000","$2,119,994","$2,119,994","Warner Bros.","","G"
"Kansas City","08/16/1996","$19,000,000","$1,353,824","$1,353,824","New Line","Drama","R"
"George A. Romero's Land of the Dead","06/24/2005","$18,975,000","$20,700,082","$47,751,015","Universal","Horror","R"
"Indigènes","12/15/2006","$18,900,000","$320,700","$26,063,572","Weinstein Co.","Drama","NR"
"The Amityville Horror","04/15/2005","$18,500,000","$65,233,369","$109,175,673","Filmways Pictures","Horror","R"
"Adaptation","12/06/2002","$18,500,000","$22,498,520","$32,531,759","Sony Pictures","Comedy","R"
"The Invention of Lying","10/02/2009","$18,500,000","$18,451,251","$32,679,264","Warner Bros.","Comedy","PG-13"
"Fear and Loathing in Las Vegas","05/22/1998","$18,500,000","$10,680,275","$13,711,903","Universal","Comedy","R"
"Ne le dis à personne","07/04/2008","$18,500,000","$6,198,883","$33,954,018","Music Box Films","Thriller/Suspense","NR"
"Left Behind","02/02/2001","$18,500,000","$4,221,341","$4,221,341","Cloud Ten Pictures","Drama","PG-13"
"Neighbors","05/09/2014","$18,000,000","$150,086,800","$270,944,428","Universal","Comedy","R"
"Borat","11/03/2006","$18,000,000","$128,505,958","$261,443,242","20th Century Fox","Comedy","R"
"The Mask","07/29/1994","$18,000,000","$119,920,129","$351,620,129","New Line","Comedy","PG-13"
"Big","06/03/1988","$18,000,000","$114,968,774","$151,668,774","20th Century Fox","Comedy","PG"
"Legally Blonde","07/13/2001","$18,000,000","$96,493,426","$141,809,235","MGM","Comedy","PG-13"
"Mean Girls","04/30/2004","$18,000,000","$86,047,227","$130,953,026","Paramount Pictures","Comedy","PG-13"
"Star Trek III: The Search for Spock","06/01/1984","$18,000,000","$76,471,046","$87,000,000","Paramount Pictures","Adventure","PG"
"The Exorcism of Emily Rose","09/09/2005","$18,000,000","$75,072,454","$144,529,078","Sony Pictures","Horror","PG-13"
"Deuce Bigalow: Male Gigolo","12/10/1999","$18,000,000","$65,535,067","$92,935,067","Walt Disney","Comedy","R"
"Barbershop 2: Back in Business","02/06/2004","$18,000,000","$65,070,412","$65,842,412","MGM","Comedy","PG-13"
"The Family Stone","12/16/2005","$18,000,000","$60,062,868","$92,357,499","20th Century Fox","Comedy","PG-13"
"Bad Santa","11/26/2003","$18,000,000","$60,060,328","$77,147,031","Miramax/Dimension","Black Comedy","R"
"Predator","06/12/1987","$18,000,000","$59,735,548","$98,267,558","20th Century Fox","Action","R"
"My Big Fat Greek Wedding 2","03/25/2016","$18,000,000","$59,689,605","$91,651,878","Universal","Comedy","PG-13"
"The Perfect Guy","09/11/2015","$18,000,000","$57,017,904","$60,264,805","Sony Pictures","Thriller/Suspense","PG-13"
"Austin Powers: International Man of Mystery","05/02/1997","$18,000,000","$53,883,989","$67,683,989","New Line","Comedy","PG-13"
"Diary of a Wimpy Kid: Rodrick Rules","03/25/2011","$18,000,000","$52,698,535","$73,695,194","20th Century Fox","Adventure","PG"
"Amadeus","09/19/1984","$18,000,000","$51,973,029","$51,973,029","Warner Bros.","Drama","R"
"Prom Night","04/11/2008","$18,000,000","$43,869,350","$57,193,655","Sony Pictures","Horror","PG-13"
"Soul Surfer","04/08/2011","$18,000,000","$43,853,424","$47,158,652","Sony Pictures","Drama","PG"
"Under the Tuscan Sun","09/26/2003","$18,000,000","$43,601,508","$57,490,024","Walt Disney","Comedy","PG-13"
"Birdman or (The Unexpected Virtue of Ignorance)","10/17/2014","$18,000,000","$42,340,598","$103,215,094","Fox Searchlight","Black Comedy","R"
"Peggy Sue Got Married","10/10/1986","$18,000,000","$41,382,841","$41,382,841","Sony/TriStar","Comedy","PG-13"
"Gosford Park","12/26/2001","$18,000,000","$41,300,105","$41,300,105","USA Films","Comedy","R"
"Orange County","01/11/2002","$18,000,000","$41,059,716","$43,308,707","Paramount Pictures","Comedy","PG-13"
"Blue Jasmine","07/26/2013","$18,000,000","$33,404,871","$102,912,961","Sony Pictures Classics","Comedy","PG-13"
"United 93","04/28/2006","$18,000,000","$31,567,134","$77,635,035","Universal","Drama","R"
"Honey","12/05/2003","$18,000,000","$30,272,254","$62,646,763","Universal","Drama","PG-13"
"The Fog","10/14/2005","$18,000,000","$29,511,112","$37,048,526","Sony Pictures","Horror","PG-13"
"Spy Hard","05/24/1996","$18,000,000","$26,936,265","$26,936,265","Walt Disney","Comedy","PG-13"
"Ricki and the Flash","08/07/2015","$18,000,000","$26,822,144","$41,148,679","Sony Pictures","Drama","PG-13"
"Glory","12/13/1989","$18,000,000","$26,593,580","$26,593,580","Sony Pictures","Action","R"
"Love the Coopers","11/13/2015","$18,000,000","$26,302,731","$42,167,286","CBS Films","Comedy","PG-13"
"Observe and Report","04/10/2009","$18,000,000","$24,007,324","$27,148,898","Warner Bros.","Comedy","R"
"Raging Bull","11/14/1980","$18,000,000","$23,380,203","$23,380,203","United Artists","Drama","NR"
"Love Happens","09/18/2009","$18,000,000","$22,965,110","$36,133,014","Universal","Drama","PG-13"
"Fame","09/25/2009","$18,000,000","$22,455,510","$80,227,619","MGM","Musical","PG"
"The Circle","04/28/2017","$18,000,000","$20,497,844","$40,651,864","STX Entertainment","Thriller/Suspense","PG-13"
"Young Sherlock Holmes","12/04/1985","$18,000,000","$19,739,000","$19,739,000","Paramount Pictures","Adventure","PG-13"
"127 Hours","11/05/2010","$18,000,000","$18,335,230","$60,217,171","Fox Searchlight","Drama","R"
"Small Time Crooks","05/19/2000","$18,000,000","$17,266,359","$29,934,477","Dreamworks SKG","Comedy","PG"
"Center Stage","05/12/2000","$18,000,000","$17,200,925","$21,361,109","Sony Pictures","Drama","PG-13"
"Norm of the North","01/15/2016","$18,000,000","$17,062,499","$27,392,195","Lionsgate","Adventure","PG"
"Catch That Kid","02/06/2004","$18,000,000","$16,703,799","$16,959,614","20th Century Fox","Adventure","PG"
"Jobs","08/16/2013","$18,000,000","$16,131,410","$43,402,515","Open Road","Drama","PG-13"
"Life as a House","10/26/2001","$18,000,000","$15,652,637","$23,889,158","New Line","Drama","R"
"Youth in Revolt","01/08/2010","$18,000,000","$15,285,588","$19,685,588","Weinstein/Dimension","Comedy","R"
"And So It Goes","07/25/2014","$18,000,000","$15,160,801","$17,762,041","Clarius Entertainment","Comedy","PG-13"
"I Love You, Beth Cooper","07/10/2009","$18,000,000","$14,800,725","$16,382,538","20th Century Fox","Comedy","PG-13"
"Tailor of Panama","03/30/2001","$18,000,000","$13,491,653","$27,491,653","Sony Pictures","Thriller/Suspense","R"
"The Legend of the Lone Ranger","05/22/1981","$18,000,000","$13,400,000","$13,400,000","Universal","Western","PG"
"Labor Day","01/31/2014","$18,000,000","$13,371,528","$14,189,810","Paramount Pictures","Drama","PG-13"
"Getaway","08/30/2013","$18,000,000","$10,501,938","$11,813,989","Warner Bros.","Thriller/Suspense","PG-13"
"The Ice Storm","09/26/1997","$18,000,000","$8,038,061","$16,011,975","Fox Searchlight","Drama","R"
"Being Julia","10/15/2004","$18,000,000","$7,739,049","$14,488,705","Sony Pictures","Drama","R"
"The Last Station","01/15/2010","$18,000,000","$6,617,867","$15,696,146","Sony Pictures Classics","Drama","R"
"Ed Wood","09/30/1994","$18,000,000","$5,828,466","$5,828,466","Walt Disney","Comedy","R"
"Mongol","06/06/2008","$18,000,000","$5,705,761","$27,147,349","Picturehouse","Drama","R"
"RocknRolla","10/08/2008","$18,000,000","$5,700,626","$27,794,339","Warner Bros.","Action","R"
"Mao's Last Dancer","08/20/2010","$18,000,000","$4,806,750","$25,941,437","Samuel Goldwyn Films","Drama","PG"
"Hamlet","12/25/1996","$18,000,000","$4,501,094","$7,129,670","Sony Pictures","Drama","PG-13"
"The Railway Man","04/11/2014","$18,000,000","$4,438,438","$23,910,210","Weinstein Co.","Drama","R"
"Restoration","12/29/1995","$18,000,000","$4,100,000","$4,100,000","Miramax","Drama","R"
"Midnight Special","03/18/2016","$18,000,000","$3,712,282","$7,680,250","Warner Bros.","Drama","PG-13"
"Miss Sloane","11/25/2016","$18,000,000","$3,500,605","$5,911,870","EuropaCorp","Drama","R"
"Metallica Through the Never","09/27/2013","$18,000,000","$3,419,967","$9,082,906","Picturehouse","Concert/Performance","R"
"Anything Else","09/19/2003","$18,000,000","$3,203,044","$13,203,044","Dreamworks SKG","Romantic Comedy","R"
"Unforgettable","02/23/1996","$18,000,000","$2,483,790","$2,483,790","MGM","Thriller/Suspense","R"
"T2: Trainspotting","03/17/2017","$18,000,000","$2,402,004","$42,074,024","Sony Pictures","Drama","R"
"Das Weisse Band: Eine deutsche Kindergeschichte","12/30/2009","$18,000,000","$2,222,862","$25,727,044","Sony Pictures Classics","Drama","R"
"Phantom","03/01/2013","$18,000,000","$1,034,589","$1,199,510","RCR Media Group","Thriller/Suspense","R"
"The Salton Sea","04/26/2002","$18,000,000","$676,698","$676,698","Warner Bros.","Thriller/Suspense","R"
"The Informers","04/24/2009","$18,000,000","$315,000","$315,000","Senator Entertainment","Thriller/Suspense","R"
"Carlos","10/15/2010","$18,000,000","$145,526","$157,002","IFC Films","Drama","NR"
"Renaissance","09/22/2006","$18,000,000","$70,644","$2,401,413","Miramax","Action","R"
"I Am Wrath","04/15/2016","$18,000,000","$0","$309,608","Saban Films","Action","R"
"The Prince","08/22/2014","$18,000,000","$0","$0","Lionsgate","Action","R"
"Wolves","11/14/2014","$18,000,000","$0","$0","Ketchup Entertainment","Horror","R"
"Forsaken","02/19/2016","$18,000,000","$0","$0","Momentum Pictures","Western","R"
"Red Lights","07/13/2012","$17,700,000","$49,521","$14,518,884","Alchemy","Thriller/Suspense","R"
"Superbad","08/17/2007","$17,500,000","$121,463,226","$169,955,142","Sony Pictures","Comedy","R"
"Madea Goes To Jail","02/20/2009","$17,500,000","$90,508,336","$90,508,336","Lionsgate","Comedy","PG-13"
"Step Up 2 the Streets","02/14/2008","$17,500,000","$58,017,783","$148,586,910","Walt Disney","Drama","PG-13"
"Hoodwinked","01/13/2006","$17,500,000","$51,386,611","$109,843,390","Weinstein Co.","Adventure","PG"
"Hitman","11/21/2007","$17,500,000","$39,687,694","$99,135,571","20th Century Fox","Action","R"
"Hotel Rwanda","12/22/2004","$17,500,000","$23,519,128","$36,521,223","MGM","Drama","PG-13"
"Beerfest","08/25/2006","$17,500,000","$19,185,184","$20,159,316","Warner Bros.","Comedy","R"
"Black Nativity","11/27/2013","$17,500,000","$7,018,188","$7,285,135","20th Century Fox","Musical","PG"
"City of Ghosts","04/25/2003","$17,500,000","$325,491","$325,491","MGM","Drama","R"
"The Others","08/10/2001","$17,000,000","$96,522,687","$207,765,056","Miramax","Horror","PG-13"
"Aliens","07/18/1986","$17,000,000","$85,160,248","$183,316,455","20th Century Fox","Action","R"
"Let’s Be Cops","08/13/2014","$17,000,000","$82,390,774","$136,890,774","20th Century Fox","Comedy","R"
"I Know What You Did Last Summer","10/17/1997","$17,000,000","$72,250,091","$125,250,091","Sony Pictures","Horror","R"
"My Fair Lady","10/22/1964","$17,000,000","$72,000,000","$72,070,955","","Musical","G"
"Sideways","10/22/2004","$17,000,000","$71,502,303","$109,793,192","Fox Searchlight","Drama","R"
"The Best Man Holiday","11/15/2013","$17,000,000","$70,525,195","$72,835,710","Universal","Comedy","R"
"Friday the 13th","02/13/2009","$17,000,000","$65,002,019","$92,670,237","Warner Bros.","Horror","R"
"Pitch Perfect","09/28/2012","$17,000,000","$65,001,093","$116,044,347","Universal","Comedy","PG-13"
"Halloween: H2O","08/05/1998","$17,000,000","$55,041,738","$55,041,738","Miramax","Horror","R"
"Evil Dead","04/05/2013","$17,000,000","$54,239,856","$97,778,356","Sony Pictures","Horror","R"
"Jet Li's Hero","08/27/2004","$17,000,000","$53,652,140","$177,535,958","Miramax","Action","PG-13"
"Saw 3D","10/29/2010","$17,000,000","$45,710,178","$133,735,284","Lionsgate","Horror","R"
"McFarland, USA","02/20/2015","$17,000,000","$44,480,275","$45,707,924","Walt Disney","Drama","PG"
"Almost Christmas","11/11/2016","$17,000,000","$42,065,185","$42,493,506","Universal","Drama","PG-13"
"The Hills Have Eyes","03/10/2006","$17,000,000","$41,778,863","$70,355,813","Fox Searchlight","Horror","R"
"40 Days and 40 Nights","03/01/2002","$17,000,000","$37,939,782","$95,092,667","Miramax","Romantic Comedy","R"
"Good Boy!","10/10/2003","$17,000,000","$37,667,746","$45,312,217","MGM","Adventure","PG"
"Smokin' Aces","01/26/2007","$17,000,000","$35,662,731","$57,263,440","Universal","Comedy","R"
"A Night at the Roxbury","10/02/1998","$17,000,000","$30,331,165","$30,331,165","Paramount Pictures","Comedy","PG-13"
"Beastly","03/04/2011","$17,000,000","$27,865,571","$38,028,230","CBS Films","Drama","PG-13"
"Brooklyn's Finest","03/05/2010","$17,000,000","$27,163,593","$39,233,233","Overture Films","Thriller/Suspense","R"
"Lottery Ticket","08/20/2010","$17,000,000","$24,719,879","$24,719,879","Warner Bros.","Comedy","PG-13"
"Dickie Roberts: Former Child Star","09/05/2003","$17,000,000","$22,734,486","$23,734,486","Paramount Pictures","Comedy","PG-13"
"ATL","03/31/2006","$17,000,000","$21,170,563","$21,170,563","Warner Bros.","Comedy","PG-13"
"Summer Catch","08/24/2001","$17,000,000","$19,693,891","$19,693,891","Warner Bros.","Comedy","PG-13"
"A Simple Plan","12/11/1998","$17,000,000","$16,316,273","$16,316,273","Paramount Pictures","Drama","R"
"Larry the Cable Guy: Health Inspector","03/24/2006","$17,000,000","$15,680,099","$15,680,099","Lionsgate","Comedy","PG-13"
"Wes Craven Presents: They","11/27/2002","$17,000,000","$12,840,842","$16,140,842","Miramax/Dimension","Horror","PG-13"
"The Adventures of Elmo in Grouchland","10/01/1999","$17,000,000","$11,634,458","$11,634,458","Sony Pictures","Adventure","G"
"Superman IV: The Quest for Peace","07/24/1987","$17,000,000","$11,227,824","$11,227,824","Warner Bros.","Action","PG"
"My Life in Ruins","06/05/2009","$17,000,000","$8,665,206","$20,465,206","Fox Searchlight","Romantic Comedy","PG-13"
"American Dreamz","04/21/2006","$17,000,000","$7,314,027","$16,510,971","Universal","Black Comedy","PG-13"
"How She Move","01/25/2008","$17,000,000","$7,070,641","$8,607,815","Paramount Vantage","Drama","PG-13"
"Running Scared","02/24/2006","$17,000,000","$6,855,137","$9,729,088","New Line","Action","R"
"The Apparition","08/24/2012","$17,000,000","$4,936,819","$10,637,281","Warner Bros.","Horror","PG-13"
"Bobby Jones: Stroke of Genius","04/30/2004","$17,000,000","$2,694,071","$2,694,071","Film Foundry","Drama","PG"
"L'illusionniste","12/25/2010","$17,000,000","$2,231,474","$8,609,949","Sony Pictures Classics","Adventure","PG"
"Roar","01/01/1981","$17,000,000","$2,110,050","$2,110,050","","Adventure","PG"
"Veronica Guerin","10/17/2003","$17,000,000","$1,569,918","$9,438,074","Walt Disney","Drama","R"
"Genius","06/10/2016","$17,000,000","$1,361,045","$5,653,176","Roadside Attractions","Drama","PG-13"
"Southland Tales","11/14/2007","$17,000,000","$275,380","$364,607","Samuel Goldwyn Films","Musical","R"
"Escobar: Paradise Lost","06/26/2015","$17,000,000","$195,792","$1,973,945","RADiUS-TWC","Drama","R"
"The Young Messiah","03/11/2016","$16,800,000","$6,469,813","$7,313,697","Focus Features","Drama","PG-13"
"FUR: An Imaginary Portrait of Diane Arbus","11/10/2006","$16,800,000","$223,202","$2,281,089","Picturehouse","Drama","R"
"My Girl","11/27/1991","$16,500,000","$58,011,485","$58,011,485","Sony Pictures","Comedy","PG-13"
"Wall Street","12/11/1987","$16,500,000","$43,848,100","$43,848,100","20th Century Fox","Drama","R"
"Sense and Sensibility","12/11/1995","$16,500,000","$42,993,774","$134,993,774","Sony Pictures","Drama","PG"
